Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7514596.979,4689971.493,599.223,2,1,1,1
2,7514545.731,4689995.793,598.409,2,1,1,1
68009,7514543.569,4689993.757,597.984,2,1,1,1
68010,7514539.889,4689984.008,598.727,2,1,1,1
68011,7514533.638,4689968.559,599.107,2,1,1,1
68012,7514526.097,4689940.78,596.955,2,1,1,1
68305,7514534.737,4689935.44,598.621,2,1,1,1
68306,7514549.997,4689932.32,598.885,2,1,1,1
68307,7514582.178,4689958.067,599.289,2,1,1,1
68308,7514597.798,4689972.236,599.193,2,1,1,1
3,7514492.54,4690021.014,599.178,2,1,1,1
4,7514449.958,4690040.931,599.803,2,1,1,1
66697,7514423.119,4690002.102,599.429,2,1,1,1
66698,7514473.508,4689972.581,599.359,2,1,1,1
71291,7514428.5,4690010.491,599.591,2,1,1,1
